text_content,language,attempt,event_type,result,similarity,comment
The emperor chose to abdicate in favor of his son.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The emperor chose to abdicate in favor of his son.'
The politician was asked to abdicate her leadership role amidst the scandal.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The politician was asked to abdicate her leadership role amidst the scandal.'
He had to abdicate his claim to the inheritance due to a prior agreement.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'He had to abdicate his claim to the inheritance due to a prior agreement.'
The monarch's decision to abdicate was met with both sadness and relief.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The monarch's decision to abdicate was met with both sadness and relief.'
She decided to abdicate her position as CEO to pursue other interests.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'She decided to abdicate her position as CEO to pursue other interests.'
The king was forced to abdicate the throne after the revolution.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The king was forced to abdicate the throne after the revolution.'
"The couple danced with abandon, lost in the moment.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'The couple danced with abandon, lost in the moment.'"
"The child played with abandon, laughing and shouting with joy.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'The child played with abandon, laughing and shouting with joy.'"
"The writer wrote with abandon, pouring her heart onto the page.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'The writer wrote with abandon, pouring her heart onto the page.'"
"The musician played with abandon, losing himself in the music.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'The musician played with abandon, losing himself in the music.'"
"The dancer moved with abandon, feeling carefree and alive.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'The dancer moved with abandon, feeling carefree and alive.'"
"The artist painted with abandon, letting her emotions guide her brushstrokes.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'The artist painted with abandon, letting her emotions guide her brushstrokes.'"
The investor abandoned the startup after a year.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The investor abandoned the startup after a year.'
The family abandoned their home during the hurricane.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The family abandoned their home during the hurricane.'
The team abandoned their strategy and tried a new approach.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The team abandoned their strategy and tried a new approach.'
He abandoned his girlfriend for someone else.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'He abandoned his girlfriend for someone else.'
The company abandoned the project due to financial difficulties.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The company abandoned the project due to financial difficulties.'
She abandoned her children at the orphanage.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'She abandoned her children at the orphanage.'
"Yo, let's grab some coffee.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'Yo, let's grab some coffee.'"
"Yo, I'm so excited for the concert tonight!",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'Yo, I'm so excited for the concert tonight.'"
"Yo, can you pass the salt?",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'Yo, can you pass the salt?'"
"Yo, I'm coming over to watch the game.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'Yo, I'm coming over to watch the game.'"
"Hey, yo, it's been a while!",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'Hey yo, it's been a while!'"
"Yo, what's up?",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'Yo, what's up?'"
yo,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Yo.'
The team abstracted the feedback to identify common themes.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The team abstracted the feedback to identify common themes.'
The author abstracted the main ideas of the book into a summary.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The author abstracted the main ideas of the book into a summary.'
The software abstracted the complex data into a simple graph.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The software abstracted the complex data into a simple graph.'
The student was asked to abstract the key points of the lecture.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The student was asked to abstract the key points of the lecture.'
The editor abstracted the article to fit within the word limit.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The editor abstracted the article to fit within the word limit.'
The researcher abstracted the data to present the main findings.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The researcher abstracted the data to present the main findings.'
The editor had to review hundreds of abstracts to choose the best papers.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'the editor had to review hundreds of abstracts to choose the best papers.'
The abstract of the dissertation was available online.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The abstract of the dissertation was available online.'
The author was asked to write a brief abstract for the back cover.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The author was asked to write a brief abstract for the back cover.'
The abstract of the book provided a good overview of the content.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The abstract of the book provided a good overview of the content.'
The conference abstract was due by the end of the week.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The conference abstract was due by the end of the week.'
The abstract of the research paper was published in the journal.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The abstract of the research paper was published in the journal.'
The philosopher's abstract ideas influenced the development of modern thought.,en,1,verify,PASS,99.35%,Similarity: 99.35% | Transcribed: 'The philosopher's abstract ideas influence the development of modern thought.'
The abstract nature of the topic made it hard to discuss.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The abstract nature of the topic made it hard to discuss.'
The company's abstract goals were unclear to the employees.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The company's abstract goals were unclear to the employees.'
The concept of love is abstract and difficult to define.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The concept of love is abstract and difficult to define.'
The professor's abstract explanation of the theory left many students confused.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The professor's abstract explanation of the theory left many students confused.'
The artist's abstract paintings were open to interpretation.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'the artist's abstract paintings were open to interpretation.'
The homeowner was forced to abate the mold growth in the basement.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The homeowner was forced to abate the mold growth in the basement.'
The regulatory agency demanded that the factory abate its toxic emissions.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The regulatory agency demanded that the factory abate its toxic emissions.'
The judge ordered the defendant to abate the noise disturbance.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The judge ordered the defendant to abate the noise disturbance.'
The city council required the property owner to abate the abandoned vehicle.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The City Council required the property owner to abate the abandoned vehicle.'
The court ruled that the company must abate the pollution in the nearby river.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The court ruled that the company must abate the pollution in the nearby river.'
The authorities ordered the landlord to abate the rodent infestation in the building.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The authorities ordered the landlord to abate the rodent infestation in the building.'
The heat didn't abate until the summer was over.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The heat didn't abate until the summer was over.'
The noise level didn't abate even after the police were called.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The noise level didn't abate even after the police were called.'
The pain didn't abate until the medication took effect.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The pain didn't abate until the medication took effect.'
The government implemented measures to abate the effects of the economic downturn.,en,1,verify,PASS,94.27%,Similarity: 94.27% | Transcribed: 'The government implemented measures to obey effects of the economic downturn.'
The company will abate its production levels due to decreased demand.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The company will abate its production levels due to decreased demand.'
The storm showed no signs of abating as the winds continued to howl.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The storm showed no signs of abating as the winds continued to howl.'
accommodate,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Accommodate.'
accessible,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Accessible.'
accept,en,1,verify,FAIL,66.67%,[major] Low similarity: 66.67% | Expected: 'accept' | Got: 'except'
