word,question_type,attempt,event_type,result,comment,question_data
academic,fill_blank,1,verify,FAIL,[critical] Malformed options data - contains non-dict elements,"{""word"": ""academic"", ""options"": [{""id"": ""A"", ""text"": ""academic""}, {""id"": ""B"", ""text"": ""athletic""}, ""id"", "":"", ""C"", {""text"": ""artistic""}, {""id"": ""D"", ""text"": ""industrial""}], ""sentence"": ""The university is renowned for its ______ excellence."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""L'université est réputée pour son excellence académique.""}"
academic,fill_blank,1,regenerate,SUCCESS,Question regenerated (issues history: 1),"{""sentence"": ""The university is renowned for its _____ excellence."", ""question_text"": ""Fill in the blank:"", ""options"": [{""id"": ""A"", ""text"": ""academic""}, {""id"": ""B"", ""text"": ""athletic""}, {""id"": ""C"", ""text"": ""artistic""}, {""id"": ""D"", ""text"": ""industrial""}], ""correct_answer"": ""A"", ""question_type"": ""fill_blank"", ""word"": ""academic""}"
academic,fill_blank,2,verify,PASS,,"{""sentence"": ""The university is renowned for its _____ excellence."", ""question_text"": ""Fill in the blank:"", ""options"": [{""id"": ""A"", ""text"": ""academic""}, {""id"": ""B"", ""text"": ""athletic""}, {""id"": ""C"", ""text"": ""artistic""}, {""id"": ""D"", ""text"": ""industrial""}], ""correct_answer"": ""A"", ""question_type"": ""fill_blank"", ""word"": ""academic""}"
abolish,fill_blank,1,verify,PASS,,"{""word"": ""abolish"", ""options"": [{""id"": ""A"", ""text"": ""abolish""}, {""id"": ""B"", ""text"": ""establish""}, {""id"": ""C"", ""text"": ""maintain""}, {""id"": ""D"", ""text"": ""implement""}], ""sentence"": ""The government decided to _____ the outdated law that had been in place for decades."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""Le gouvernement a décidé d'abolir la loi obsolète qui était en place depuis des décennies.""}"
ability,fill_blank,1,verify,PASS,,"{""word"": ""ability"", ""options"": [{""id"": ""A"", ""text"": ""ability""}, {""id"": ""B"", ""text"": ""effort""}, {""id"": ""C"", ""text"": ""salary""}, {""id"": ""D"", ""text"": ""office""}], ""sentence"": ""The job requires the _____ to work well under pressure."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""Le travail exige la capacité de bien travailler sous pression.""}"
aberration,mc_definition,1,verify,PASS,,"{""word"": ""aberration"", ""options"": [{""id"": ""A"", ""text"": ""A condition or occurrence that is different from what is normal or expected.""}, {""id"": ""B"", ""text"": ""A typical or usual example of something.""}, {""id"": ""C"", ""text"": ""A minor improvement or enhancement.""}, {""id"": ""D"", ""text"": ""A standard or benchmark for comparison.""}], ""question_text"": ""What does 'aberration' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
academic,mc_word,1,verify,PASS,,"{""word"": ""academic"", ""options"": [{""id"": ""A"", ""text"": ""academic""}, {""id"": ""B"", ""text"": ""pedagogical""}, {""id"": ""C"", ""text"": ""industrial""}, {""id"": ""D"", ""text"": ""scholarly""}], ""question_text"": ""Which word matches this definition: 'relating to education or research, especially at a university'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
abundant,fill_blank,1,verify,FAIL,"[major] The marked correct answer 'abundant' is not appropriate for the context of the sentence.; The sentence implies a temporary state, which does not align with the meaning of 'abundant'.","{""word"": ""abundant"", ""options"": [{""id"": ""A"", ""text"": ""abundant""}, {""id"": ""B"", ""text"": ""scarce""}, {""id"": ""C"", ""text"": ""sporadic""}, {""id"": ""D"", ""text"": ""extreme""}], ""sentence"": ""The beauty of cherry blossoms is _____, lasting only a few weeks."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""La beauté des fleurs de cerisier est abondante, ne durant que quelques semaines.""}"
abundant,fill_blank,1,regenerate,SUCCESS,Question regenerated (issues history: 1),"{""sentence"": ""The resources in the forest are _____, providing plenty of food and shelter for wildlife."", ""question_text"": ""Fill in the blank:"", ""options"": [{""id"": ""A"", ""text"": ""abundant""}, {""id"": ""B"", ""text"": ""limited""}, {""id"": ""C"", ""text"": ""insufficient""}, {""id"": ""D"", ""text"": ""meager""}], ""correct_answer"": ""A"", ""question_type"": ""fill_blank"", ""word"": ""abundant""}"
abundant,fill_blank,2,verify,PASS,,"{""sentence"": ""The resources in the forest are _____, providing plenty of food and shelter for wildlife."", ""question_text"": ""Fill in the blank:"", ""options"": [{""id"": ""A"", ""text"": ""abundant""}, {""id"": ""B"", ""text"": ""limited""}, {""id"": ""C"", ""text"": ""insufficient""}, {""id"": ""D"", ""text"": ""meager""}], ""correct_answer"": ""A"", ""question_type"": ""fill_blank"", ""word"": ""abundant""}"
accelerate,fill_blank,1,verify,PASS,,"{""word"": ""accelerate"", ""options"": [{""id"": ""A"", ""text"": ""accelerate""}, {""id"": ""B"", ""text"": ""delay""}, {""id"": ""C"", ""text"": ""stabilize""}, {""id"": ""D"", ""text"": ""descend""}], ""sentence"": ""The new investment will help ______ the company's growth in the global market."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""Le nouvel investissement aidera à accélérer la croissance de l'entreprise sur le marché mondial.""}"
abundant,mc_word,1,verify,PASS,,"{""word"": ""abundant"", ""options"": [{""id"": ""A"", ""text"": ""abundant""}, {""id"": ""B"", ""text"": ""scarce""}, {""id"": ""C"", ""text"": ""ample""}, {""id"": ""D"", ""text"": ""sparse""}], ""question_text"": ""Which word matches this definition: 'existing in large quantities; plentiful'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
abstract,fill_blank,1,verify,FAIL,[major] The marked correct answer 'abstract' is not correct in the context of the sentence.; The word 'abstract' does not fit naturally in the sentence.,"{""word"": ""abstract"", ""options"": [{""id"": ""A"", ""text"": ""abstract""}, {""id"": ""B"", ""text"": ""concrete""}, {""id"": ""C"", ""text"": ""tangible""}, {""id"": ""D"", ""text"": ""specific""}], ""sentence"": ""The beauty of cherry blossoms is __________, lasting only a few weeks."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""La beauté des cerisiers en fleurs est abstraite, ne durant que quelques semaines.""}"
abstract,fill_blank,1,regenerate,SUCCESS,Question regenerated (issues history: 1),"{""sentence"": ""The concept of freedom is often considered __________, as it can mean different things to different people."", ""question_text"": ""Fill in the blank:"", ""options"": [{""id"": ""A"", ""text"": ""abstract""}, {""id"": ""B"", ""text"": ""literal""}, {""id"": ""C"", ""text"": ""fixed""}, {""id"": ""D"", ""text"": ""definite""}], ""correct_answer"": ""A"", ""question_type"": ""fill_blank"", ""word"": ""abstract""}"
abstract,fill_blank,2,verify,PASS,,"{""sentence"": ""The concept of freedom is often considered __________, as it can mean different things to different people."", ""question_text"": ""Fill in the blank:"", ""options"": [{""id"": ""A"", ""text"": ""abstract""}, {""id"": ""B"", ""text"": ""literal""}, {""id"": ""C"", ""text"": ""fixed""}, {""id"": ""D"", ""text"": ""definite""}], ""correct_answer"": ""A"", ""question_type"": ""fill_blank"", ""word"": ""abstract""}"
abhor,mc_definition,1,verify,PASS,,"{""word"": ""abhor"", ""options"": [{""id"": ""A"", ""text"": ""to regard with horror or disgust""}, {""id"": ""B"", ""text"": ""to strongly dislike or disapprove""}, {""id"": ""C"", ""text"": ""to feel indifferent or neutral about""}, {""id"": ""D"", ""text"": ""to love or admire strongly""}], ""question_text"": ""What does 'abhor' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
aberration,mc_word,1,verify,FAIL,[major] The marked correct answer is not the only correct answer; both A (aberration) and B (anomaly) can fit the definition provided.,"{""word"": ""aberration"", ""options"": [{""id"": ""A"", ""text"": ""aberration""}, {""id"": ""B"", ""text"": ""anomaly""}, {""id"": ""C"", ""text"": ""conformity""}, {""id"": ""D"", ""text"": ""deviation""}], ""question_text"": ""Which word matches this definition: 'A condition or occurrence that is different from what is normal or expected.'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
aberration,mc_word,1,regenerate,SUCCESS,Question regenerated (issues history: 1),"{""question_text"": ""Which word matches this definition: 'A departure from what is normal or expected, often indicating a problem or irregularity.'?"", ""options"": [{""id"": ""A"", ""text"": ""aberration""}, {""id"": ""B"", ""text"": ""normalcy""}, {""id"": ""C"", ""text"": ""consistency""}, {""id"": ""D"", ""text"": ""uniformity""}], ""correct_answer"": ""A"", ""question_type"": ""mc_word"", ""word"": ""aberration""}"
aberration,mc_word,2,verify,PASS,,"{""question_text"": ""Which word matches this definition: 'A departure from what is normal or expected, often indicating a problem or irregularity.'?"", ""options"": [{""id"": ""A"", ""text"": ""aberration""}, {""id"": ""B"", ""text"": ""normalcy""}, {""id"": ""C"", ""text"": ""consistency""}, {""id"": ""D"", ""text"": ""uniformity""}], ""correct_answer"": ""A"", ""question_type"": ""mc_word"", ""word"": ""aberration""}"
abandon,mc_word,1,verify,PASS,,"{""word"": ""abandon"", ""options"": [{""id"": ""A"", ""text"": ""abandon""}, {""id"": ""B"", ""text"": ""abscond""}, {""id"": ""C"", ""text"": ""renounce""}, {""id"": ""D"", ""text"": ""accompany""}], ""question_text"": ""Which word matches this definition: 'to leave or desert someone or something'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
abandon,fill_blank,1,verify,PASS,,"{""word"": ""abandon"", ""options"": [{""id"": ""A"", ""text"": ""abandon""}, {""id"": ""B"", ""text"": ""reluctance""}, {""id"": ""C"", ""text"": ""caution""}, {""id"": ""D"", ""text"": ""reserve""}], ""sentence"": ""The beauty of cherry blossoms is enjoyed with _____, as people revel in their brief but stunning display."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""La beauté des fleurs de cerisier est appréciée avec abandon, car les gens se laissent emporter par leur bref mais magnifique spectacle.""}"
abdicate,mc_definition,1,verify,PASS,,"{""word"": ""abdicate"", ""options"": [{""id"": ""A"", ""text"": ""to give up or renounce a position, especially a throne, crown, or high office""}, {""id"": ""B"", ""text"": ""to take over a position, especially a throne, crown, or high office""}, {""id"": ""C"", ""text"": ""to temporarily step down from a position, with the intention of returning""}, {""id"": ""D"", ""text"": ""to transfer a position to a lower-ranking person""}], ""question_text"": ""What does 'abdicate' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
abbreviate,fill_blank,1,verify,PASS,,"{""word"": ""abbreviate"", ""options"": [{""id"": ""A"", ""text"": ""abbreviate""}, {""id"": ""B"", ""text"": ""elaborate""}, {""id"": ""C"", ""text"": ""translate""}, {""id"": ""D"", ""text"": ""summarize""}], ""sentence"": ""The professor asked the students to _____ their essays to fit the one-page limit."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""Le professeur a demandé aux étudiants de réduire la longueur de leurs essais pour respecter la limite d'une page.""}"
abdicate,fill_blank,1,verify,PASS,,"{""word"": ""abdicate"", ""options"": [{""id"": ""A"", ""text"": ""abdicate""}, {""id"": ""B"", ""text"": ""resign""}, {""id"": ""C"", ""text"": ""inaugurate""}, {""id"": ""D"", ""text"": ""endorse""}], ""sentence"": ""The monarch was forced to _____, relinquishing the throne to his son."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""Le monarque fut forcé d'abdiquer, cédant le trône à son fils.""}"
abbreviate,mc_word,1,verify,PASS,,"{""word"": ""abbreviate"", ""options"": [{""id"": ""A"", ""text"": ""abbreviate""}, {""id"": ""B"", ""text"": ""condense""}, {""id"": ""C"", ""text"": ""elaborate""}, {""id"": ""D"", ""text"": ""summarize""}], ""question_text"": ""Which word matches this definition: 'to shorten or reduce something, especially a word or phrase, by leaving out some of its letters or syllables'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
abate,mc_word,1,verify,PASS,,"{""word"": ""abate"", ""options"": [{""id"": ""A"", ""text"": ""abate""}, {""id"": ""B"", ""text"": ""amplify""}, {""id"": ""C"", ""text"": ""mitigate""}, {""id"": ""D"", ""text"": ""aggravate""}], ""question_text"": ""Which word matches this definition: 'to reduce in amount or degree'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
abolish,mc_definition,1,verify,PASS,,"{""word"": ""abolish"", ""options"": [{""id"": ""A"", ""text"": ""to officially cancel or end something, such as a law, a system, or an institution""}, {""id"": ""B"", ""text"": ""to establish or introduce a new law, system, or institution""}, {""id"": ""C"", ""text"": ""to modify or change something, but not completely remove it""}, {""id"": ""D"", ""text"": ""to temporarily suspend or delay something""}], ""question_text"": ""What does 'abolish' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
abstract,mc_word,1,verify,PASS,,"{""word"": ""abstract"", ""options"": [{""id"": ""A"", ""text"": ""abstract""}, {""id"": ""B"", ""text"": ""tangible""}, {""id"": ""C"", ""text"": ""intangible""}, {""id"": ""D"", ""text"": ""concrete""}], ""question_text"": ""Which word matches this definition: 'existing in thought or idea rather than in physical reality'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
ability,mc_word,1,verify,PASS,,"{""word"": ""ability"", ""options"": [{""id"": ""A"", ""text"": ""ability""}, {""id"": ""B"", ""text"": ""certainty""}, {""id"": ""C"", ""text"": ""capacity""}, {""id"": ""D"", ""text"": ""leniency""}], ""question_text"": ""Which word matches this definition: 'The quality or skill that enables someone to do something well'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
abhor,fill_blank,1,verify,PASS,,"{""word"": ""abhor"", ""options"": [{""id"": ""A"", ""text"": ""abhor""}, {""id"": ""B"", ""text"": ""admire""}, {""id"": ""C"", ""text"": ""tolerate""}, {""id"": ""D"", ""text"": ""celebrate""}], ""sentence"": ""The community leaders _____ the recent string of vandalism in the city."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""Les dirigeants communautaires détestent la récente série de vandalisme dans la ville.""}"
abate,mc_definition,1,verify,PASS,,"{""word"": ""abate"", ""options"": [{""id"": ""A"", ""text"": ""to reduce in amount or degree, or to put an end to a nuisance""}, {""id"": ""B"", ""text"": ""to increase in severity or intensity""}, {""id"": ""C"", ""text"": ""to maintain a steady level""}, {""id"": ""D"", ""text"": ""to completely eliminate or eradicate""}], ""question_text"": ""What does 'abate' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
assess,mc_definition,1,verify,PASS,,"{""word"": ""assess"", ""options"": [{""id"": ""A"", ""text"": ""to evaluate or estimate the nature, quality, or significance of something""}, {""id"": ""B"", ""text"": ""to compare or contrast different things""}, {""id"": ""C"", ""text"": ""to criticize or find fault with something""}, {""id"": ""D"", ""text"": ""to ignore or disregard something""}], ""question_text"": ""What does 'assess' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
assess,fill_blank,1,verify,PASS,,"{""word"": ""assess"", ""options"": [{""id"": ""A"", ""text"": ""assess""}, {""id"": ""B"", ""text"": ""dismiss""}, {""id"": ""C"", ""text"": ""decorate""}, {""id"": ""D"", ""text"": ""accelerate""}], ""sentence"": ""The teacher will ____ the students' performance at the end of the semester."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""L'enseignant évaluera les performances des élèves à la fin du semestre.""}"
aspect,fill_blank,1,verify,PASS,,"{""word"": ""aspect"", ""options"": [{""id"": ""A"", ""text"": ""an aspect""}, {""id"": ""B"", ""text"": ""a theory""}, {""id"": ""C"", ""text"": ""a habitat""}, {""id"": ""D"", ""text"": ""a symptom""}], ""sentence"": ""The beauty of cherry blossoms is an aspect that is fleeting, lasting only a few weeks."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""La beauté des fleurs de cerisier est un aspect éphémère, ne durant que quelques semaines.""}"
aspect,mc_word,1,verify,PASS,,"{""word"": ""aspect"", ""options"": [{""id"": ""A"", ""text"": ""aspect""}, {""id"": ""B"", ""text"": ""outlook""}, {""id"": ""C"", ""text"": ""prospect""}, {""id"": ""D"", ""text"": ""panorama""}], ""question_text"": ""Which word matches this definition: 'A particular part or feature of something'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
arrange,mc_word,1,verify,PASS,,"{""word"": ""arrange"", ""options"": [{""id"": ""A"", ""text"": ""arrange""}, {""id"": ""B"", ""text"": ""destroy""}, {""id"": ""C"", ""text"": ""coordinate""}, {""id"": ""D"", ""text"": ""delay""}], ""question_text"": ""Which word matches this definition: 'to organize or plan something'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
arrange,fill_blank,1,verify,PASS,,"{""word"": ""arrange"", ""options"": [{""id"": ""A"", ""text"": ""arrange""}, {""id"": ""B"", ""text"": ""delay""}, {""id"": ""C"", ""text"": ""disappear""}, {""id"": ""D"", ""text"": ""decorate""}], ""sentence"": ""The travel agency will help us ______ a trip to Europe for our summer vacation."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""L'agence de voyages nous aidera à organiser un voyage en Europe pour nos vacances d'été.""}"
argue,mc_word,1,verify,PASS,,"{""word"": ""argue"", ""options"": [{""id"": ""A"", ""text"": ""argue""}, {""id"": ""B"", ""text"": ""debate""}, {""id"": ""C"", ""text"": ""whisper""}, {""id"": ""D"", ""text"": ""justify""}], ""question_text"": ""Which word matches this definition: 'to give reasons or cite evidence in order to support a claim, point of view, or conclusion'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
argue,mc_definition,1,verify,PASS,,"{""word"": ""argue"", ""options"": [{""id"": ""A"", ""text"": ""to present reasons or evidence to support a claim or point of view""}, {""id"": ""B"", ""text"": ""to listen carefully to someone's opinion""}, {""id"": ""C"", ""text"": ""to agree with someone without discussion""}, {""id"": ""D"", ""text"": ""to ignore someone's point of view""}], ""question_text"": ""What does 'argue' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
approximate,fill_blank,1,verify,FAIL,[major] The marked correct answer (D: approximate) is not correct for the context of the sentence.; There are multiple plausible answers (A: fleeting) that fit the sentence.,"{""word"": ""approximate"", ""options"": [{""id"": ""A"", ""text"": ""fleeting""}, {""id"": ""B"", ""text"": ""precise""}, {""id"": ""C"", ""text"": ""permanent""}, {""id"": ""D"", ""text"": ""approximate""}], ""sentence"": ""The beauty of cherry blossoms is _____, lasting only a few weeks."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""D"", ""sentence_translation"": ""La beauté des fleurs de cerisier est approximative, ne durant que quelques semaines.""}"
approximate,fill_blank,1,regenerate,SUCCESS,Question regenerated (issues history: 1),"{""sentence"": ""The beauty of cherry blossoms is _____, lasting only a few weeks."", ""question_text"": ""Fill in the blank:"", ""options"": [{""id"": ""A"", ""text"": ""fleeting""}, {""id"": ""B"", ""text"": ""eternal""}, {""id"": ""C"", ""text"": ""constant""}, {""id"": ""D"", ""text"": ""unchanging""}], ""correct_answer"": ""A"", ""question_type"": ""fill_blank"", ""word"": ""approximate""}"
approximate,fill_blank,2,verify,FAIL,[major] The marked correct answer is not correct for the word 'approximate'.; The question is ambiguous as it does not clearly relate to the word being tested.,"{""sentence"": ""The beauty of cherry blossoms is _____, lasting only a few weeks."", ""question_text"": ""Fill in the blank:"", ""options"": [{""id"": ""A"", ""text"": ""fleeting""}, {""id"": ""B"", ""text"": ""eternal""}, {""id"": ""C"", ""text"": ""constant""}, {""id"": ""D"", ""text"": ""unchanging""}], ""correct_answer"": ""A"", ""question_type"": ""fill_blank"", ""word"": ""approximate""}"
approximate,fill_blank,2,regenerate,SUCCESS,Question regenerated (issues history: 2),"{""sentence"": ""The scientist's estimate of the project's completion time was _____, as it was based on preliminary data."", ""question_text"": ""Fill in the blank:"", ""options"": [{""id"": ""A"", ""text"": ""approximate""}, {""id"": ""B"", ""text"": ""exact""}, {""id"": ""C"", ""text"": ""definite""}, {""id"": ""D"", ""text"": ""precise""}], ""correct_answer"": ""A"", ""question_type"": ""fill_blank"", ""word"": ""approximate""}"
approximate,fill_blank,3,verify,FAIL,[major] The marked correct answer is not the best fit for the context of the sentence.,"{""sentence"": ""The scientist's estimate of the project's completion time was _____, as it was based on preliminary data."", ""question_text"": ""Fill in the blank:"", ""options"": [{""id"": ""A"", ""text"": ""approximate""}, {""id"": ""B"", ""text"": ""exact""}, {""id"": ""C"", ""text"": ""definite""}, {""id"": ""D"", ""text"": ""precise""}], ""correct_answer"": ""A"", ""question_type"": ""fill_blank"", ""word"": ""approximate""}"
approximate,fill_blank,3,regenerate,SUCCESS,Question regenerated (issues history: 3),"{""sentence"": ""The scientist provided an _____ estimate of the project's completion time, relying on preliminary data."", ""question_text"": ""Fill in the blank:"", ""options"": [{""id"": ""A"", ""text"": ""approximate""}, {""id"": ""B"", ""text"": ""exact""}, {""id"": ""C"", ""text"": ""final""}, {""id"": ""D"", ""text"": ""certain""}], ""correct_answer"": ""A"", ""question_type"": ""fill_blank"", ""word"": ""approximate""}"
